Artist,Title,Mix,BPM,Genre,Label,Year,Download
Anjulie,Rain,Ñ,85,Top 40,StarCon/Hear,2010,Amazon
Anjulie,You & I,Ñ,130,Top 40,Universal Republic,2012,Amazon
Ankit Love ft. Amit Bhojwani,Why This Kolaveri Di,Ñ,130,Top 40,Kali Arc,2014,Amazon
Anna Kendrick,Cups,Ñ,65,Top 40,Universal Republic,2013,Amazon
Anna Kendrick,Cups (Pitch Perfect's 'When I'm Gone'),Pop Version - Director's Cut,130,Top 40,Universal Republic,2013,Amazon
Anna Nalick,Breathe (2 AM),Ñ,57,Top 40,Columbia,2005,Amazon
Anna Nalick,Breathe(2 AM),Ñ,57,Top 40,Columbia,2005,Amazon
Anne-Marie,Alarm,Ñ,73,Top 40,Atlantic,2016,Amazon
Anne-Marie,Alarm,Ñ,73,Top 40,Atlantic,2016,Amazon
Anne-Marie,Do It Right,Ñ,65,Top 40,Atlantic,2016,Amazon
Annie,Heartbeat,Ñ,127,Top 40,Big Beat Atlantic,2005,Amazon
Annie Lennox,Dark Road,Ñ,73,Top 40,Arista,2007,Amazon
Annie Lennox,God Rest Ye Merry Gentlemen,Ñ,72,Top 40,Island/Universal,2010,Amazon
Annie Lennox,Little Bird,Ñ,125,Top 40,Arista,2013,Amazon
Annie Lennox,Little Bird,Quick Edit*,125,Top 40,Arista,2013,Amazon
Annie Lennox,Shining Light,Ñ,120,Top 40,Sony BMG,2009,Amazon
Annie Lennox,Sing,Ñ,110,Top 40,J Records,2008,Amazon
Annie Stela,It's You,Ñ,70,Top 40,Capitol Records,2007,Amazon
Anoop Desai,All Is Fair (Crazy Love),Ñ,105,Top 40,The Industry Connect,2011,Amazon
Anya Marina,Notice Me,Ñ,135,Top 40,Chop Shop/Atlantic,2012,Amazon
Aradia,On Fire,Ñ,120,Top 40,Aradia,2015,Amazon
Arash ft. Snoop Dogg,OMG,Ñ,114,Top 40,Extensive,2016,Amazon
Aretha Franklin,Freeway Of Love,Quick Edit*,126,Top 40,BMG,2013,Amazon
Aretha Franklin,Freeway Of Love,Ñ,126,Top 40,BMG,2013,Amazon
Ariana Grande,Focus,Quick Edit*,100,Top 40,Republic,2015,Amazon
Ariana Grande,Focus,Ñ,100,Top 40,Republic,2015,Amazon
Ariana Grande,Focus,EXPLICIT,100,Top 40,Republic,2015,Amazon
Ariana Grande,Into You,Promo Only Quick Edit*,106,Top 40,Republic,2016,Amazon
Ariana Grande,Last Christmas,Ñ,103,Top 40,Universal Republic,2013,Amazon
Ariana Grande,One Last Time,Quick Edit*,125,Top 40,Republic,2015,Amazon
Ariana Grande,Right There,No Rap Edit,78,Top 40,Universal Republic,2013,Amazon
Ariana Grande ft. Iggy Azalea,Problem,Ñ,102,Top 40,Universal Republic,2014,Amazon
Ariana Grande ft. Iggy Azalea,Problem,Quick Edit*,103,Top 40,Universal Republic,2014,Amazon
Ariana Grande ft. Iggy Azalea,Problem,Quick Edit*,103,Top 40,Universal Republic,2014,Amazon
Ariana Grande ft. Lil Wayne,Let Me Love You,Ñ,70,Top 40,Republic,2016,Amazon
Ariana Grande ft. Nicki Minaj,Side To Side,Promo Only Intro Edit*,80,Top 40,Republic,2016,Amazon
Ariana Grande ft. Nicki Minaj,Side To Side,Promo Only Quick Edit*,80,Top 40,Republic,2016,Amazon
Ariana Grande ft. Nicki Minaj,Side To Side,Ñ,80,Top 40,Republic,2016,Amazon
Ariana Grande ft. The Weeknd,Love Me Harder,Quick Edit*,99,Top 40,Republic,2015,Amazon
Ariana Grande ft. The Weeknd,Love Me Harder,Ñ,99,Top 40,Republic,2015,Amazon
Ariana Grande ft. Zedd,Break Free,Ñ,130,Top 40,Universal Republic,2014,Amazon
Ariana Grande ft. Zedd,Break Free,Quick Edit*,130,Top 40,Universal Republic,2014,Amazon
Ariana Savalas,Perfect Man,Ñ,121,Top 40,Telly's Pop,2012,Amazon
Arianna ft. Pitbull,Sexy People (The Fiat Song),Liam Keegan Intro Edit - Remix*,128,Top 40,RCA,2013,Amazon
Arianna ft. Pitbull,Sexy People (The Fiat Song),Liam Keegan Quick Edit - Remix*,128,Top 40,RCA,2013,Amazon
Ari B,Break The Ice,Ñ,128,Top 40,Ariel Summer Bavly,2016,Amazon
Arielle,California,Ñ,96,Top 40,Open E,2014,Amazon
Armand Van Helden,Sugar,Paper Faces Mix,132,Top 40,Ultra,2006,Amazon
Armand Van Helden,When The Lights Go Down,Paul Masterson's Subway Remix,129,Top 40,Ultra,2006,Amazon
Armin Van Buuren Nadia Ali,Who Is Watching,Oliver Noldan Remix,130,Top 40,Ultra,2006,Amazon
A Rocket To The Moon,If Only They Knew,Ñ,130,Top 40,Fueled By Ramen,2009,Amazon
A Rocket To The Moon,Like We Used To,Single Edit,84,Top 40,Fueled By Ramen,2010,Amazon
A Rocket To The Moon,Whole Lotta You,Ñ,90,Top 40,Fueled By Ramen,2012,Amazon
AronChupa,Fired Cuz I Was Late,Ñ,103,Top 40,Ultra,2016,Amazon
AronChupa,Fired Cuz I Was Late,EXPLICIT,103,Top 40,Ultra,2016,Amazon
Arrested Development,Mr. Wendal,Quick Edit*,110,Top 40,Chrysalis,2013,Amazon
Arrested Development,Mr. Wendal,Ñ,110,Top 40,Chrysalis,2013,Amazon
Artists For Haiti,We Are The World 25 For Haiti,Ñ,75,Top 40,We Are The World Foundation,2010,Amazon
Ashanti,Good Good,Ñ,78,Top 40,The INC/Universal Motown,2008,Amazon
Ashanti,Only You,Radio Edit w/o Skit,95,Top 40,The Inc,2005,Amazon
Ashanti ft. 7 Aurelius,Don't Leave Me Alone,Ñ,77,Top 40,The Inc Island,2005,Amazon
Asher Monroe,Hush Hush,Ñ,78,Top 40,D Empire,2013,Amazon
Asher Monroe,Lonely Island,Ñ,80,Top 40,D Empire,2014,Amazon
